1124,-2,11
-499,0,10
-3518,-1,11
-1558,0,7
2958,-3,7
-3248,0,10
-1708,1,9
6593,-2,12
-12083,2,9
6929,-4,6
-4052,-2,12
-8930,2,9
-884,-3,13
-5736,0,12
-4011,0,9
7061,1,10
-1150,0,11
528,0,11
-1753,0,9
2045,-2,7
-89,-1,9
-4718,0,12
2967,-2,12
1420,1,9
2485,0,10
8885,-2,8
-1599,2,11
-200,-3,12
-3305,0,12
-6929,0,10
1838,-2,7
-2116,0,10
-4741,0,10
6074,-2,8
-1020,-1,11
1923,-2,7
-3479,0,10
-6323,1,12
2388,-1,11
-3698,0,8
-6027,0,10
-3020,-2,10
-3665,0,8
-1050,0,10
-886,-2,11
-4200,0,10
2954,0,6
1578,-1,10
-6417,1,13
1975,0,9
1309,-1,9
-790,-2,9
-3686,0,8
-2927,-1,9
-3992,-1,11
-9470,-1,9
-1775,0,7
-3954,-2,9
-6918,0,8
-2309,-1,10
-130,0,9
-1152,0,11
2455,-2,9
784,0,8
-3827,0,10
4456,-2,11
-8994,1,9
-2205,-3,12
-948,0,8
-707,0,12
-2388,0,10
2909,2,9
7925,0,8
4197,-4,11
-1797,3,3
599,-3,16
-585,-1,10
-5475,3,6
4827,-6,10
-7992,0,9
-3418,-1,10
2485,-2,11
-7651,1,10
-744,-4,9
-867,0,8
730,-1,7
-1069,1,11
2507,-2,13
-2549,3,6
3020,-5,13
-7313,5,6
5393,-3,12
-4273,0,14
-6001,0,6
10310,-6,8
-5451,3,9
3636,-2,12
3235,0,11
-1336,1,9
3337,-3,7
-202,0,8
1303,-1,12
4075,0,11
-5702,-1,13
-8439,0,7
2145,-3,9
-7814,0,12
2465,0,10
-10412,1,8
2701,-5,11
-7742,0,8
-5146,-1,9
-1633,-2,12
-4494,1,7
-1521,-2,12
1867,0,6
-1719,0,10
-4528,0,11
4177,-1,9
-4723,0,9
-2247,0,7
649,-4,10
-7210,4,6
6150,-2,10
2405,-1,6
-5975,-3,9
-2969,2,8
-4589,-1,12
1652,-2,9
1972,0,7
-2227,0,10
2717,-2,12
-1575,3,8
-668,-1,10
-313,-2,11
-4283,0,9
4934,-1,7
-3237,0,12
-5713,-1,8
-7711,-1,12
-6255,-1,9
-1854,-1,9
5364,0,9
-4171,0,11
1981,0,10
-3853,0,7
-4273,-2,10
-1500,-1,10
-1376,1,8
-335,0,12
-2364,-1,10
-7911,1,9
569,-2,6
-5834,-2,13
1584,0,6
1951,0,9
-2963,-1,13
1826,-1,6
3242,-3,7
-8297,1,12
-3365,-1,10
-7515,1,6
3227,-4,9
-4961,2,8
1721,1,8
3715,-2,12
-9489,1,8
-262,-1,9
4083,0,4
-7036,-2,14
1717,0,8
5123,0,8
-2378,-1,11
-541,0,6
11784,-4,5
-5091,4,9
1894,-1,14
575,1,11
-4232,0,8
6531,-4,8
-8084,1,12
-1379,1,11
-6332,0,11
-489,0,6
2244,-1,8
-2707,0,9
